113,305,130,305,130,324,113,324
133,306,146,306,146,324,133,324
149,304,169,304,169,324,149,324
172,304,193,304,193,324,172,324
195,304,213,304,213,323,195,323
215,305,232,305,232,323,215,323
237,305,253,305,253,323,237,323
254,305,274,305,274,324,254,324
278,306,297,306,297,323,278,323
299,304,318,304,318,324,299,324
323,305,341,305,341,323,323,323
342,304,360,304,360,324,342,324
361,304,377,304,377,325,361,325
378,305,398,305,398,324,378,324
279,271,295,271,295,289,279,289
302,271,319,271,319,290,302,290
321,271,336,271,336,291,321,291
338,271,354,271,354,291,338,291
357,271,373,271,373,291,357,291
142,271,158,271,158,289,142,289
161,271,177,271,177,289,161,289
178,271,195,271,195,289,178,289
197,271,214,271,214,290,197,290
219,271,235,271,235,291,219,291
238,271,254,271,254,291,238,291
255,271,273,271,273,291,255,291
