237,64,278,64,278,79,237,79
281,64,348,64,348,79,281,79
237,80,273,80,273,95,237,95
276,80,276,80,276,80,276,80
277,80,277,80,277,80,277,80
351,95,351,95,351,95,351,95
277,80,351,80,351,94,277,94
45,383,45,383,45,383,45,383
44,383,120,383,120,404,44,404
128,383,143,383,143,404,128,404
152,383,245,383,245,406,152,406
253,383,253,383,253,383,253,383
251,383,279,383,279,403,251,403
285,383,352,383,352,406,285,406
360,383,455,383,455,404,360,404
145,411,293,411,293,430,145,430
300,415,344,415,344,431,300,431
