378,106,420,108,419,124,378,122
424,109,452,109,452,122,424,122
378,124,474,124,474,138,378,138
205,246,379,246,379,274,205,274
381,246,430,246,430,274,381,274
430,246,496,246,496,274,430,274
46,434,121,434,121,454,46,454
128,434,146,434,146,454,128,454
153,434,228,436,227,458,152,456
226,434,249,434,249,454,226,454
256,434,282,434,282,453,256,453
288,434,354,434,354,457,288,457
361,434,457,434,457,454,361,454
146,461,302,461,302,481,146,481
299,465,346,463,347,479,300,481
268,524,324,524,324,544,268,544
333,524,386,524,386,544,333,544
120,525,181,525,181,544,120,544
185,525,241,525,241,541,185,541
244,526,262,526,262,541,244,541
