107,105,151,105,151,129,107,129
158,105,265,105,265,131,158,131
274,105,337,105,337,129,274,129
345,105,395,105,395,129,345,129
74,379,428,379,428,465,74,465
77,467,179,467,179,491,77,491
185,469,210,469,210,488,185,488
218,467,356,467,356,489,218,489
364,468,430,468,430,488,364,488
350,501,383,501,383,530,350,530
388,499,455,499,455,526,388,526
172,656,192,656,192,678,172,678
205,655,241,655,241,679,205,679
268,655,336,655,336,680,268,680
158,907,253,907,253,927,158,927
351,1137,384,1137,384,1155,351,1155
393,1137,426,1137,426,1154,393,1154
352,1157,386,1157,386,1172,352,1172
393,1155,445,1155,445,1173,393,1173
56,2043,106,2043,106,2061,56,2061
113,2044,162,2044,162,2062,113,2062
54,2062,90,2062,90,2078,54,2078
96,2063,162,2063,162,2081,96,2081
56,2079,117,2079,117,2099,56,2099
343,2256,394,2256,394,2275,343,2275
400,2257,434,2257,434,2274,400,2274
344,2275,453,2275,453,2293,344,2293
34,881,31,881,31,951,34,951
237,979,236,979,236,999,237,999
