182,93,194,93,194,103,182,103
193,93,205,93,205,104,193,104
203,93,215,93,215,103,203,103
195,104,207,104,207,114,195,114
206,104,218,104,218,115,206,115
216,104,228,104,228,115,216,115
227,104,237,104,237,115,227,115
237,104,249,104,249,114,237,114
183,105,193,105,193,113,183,113
170,186,186,186,186,207,170,207
218,186,238,186,238,207,218,207
235,186,253,186,253,207,235,207
250,186,271,186,271,208,250,208
286,186,302,186,302,207,286,207
185,187,201,187,201,206,185,206
198,187,218,187,218,207,198,207
270,187,289,187,289,208,270,208
333,187,350,187,350,207,333,207
301,188,318,188,318,208,301,208
316,188,334,188,334,208,316,208
348,188,365,188,365,206,348,206
73,334,89,334,89,349,73,349
34,336,44,336,44,349,34,349
44,336,55,336,55,349,44,349
53,336,64,336,64,349,53,349
63,336,74,336,74,349,63,349
102,337,108,337,108,349,102,349
114,336,126,336,126,350,114,350
168,336,176,336,176,349,168,349
190,336,201,336,201,350,190,350
215,336,225,336,225,350,215,350
224,336,230,336,230,349,224,349
239,336,248,336,248,349,239,349
329,336,340,336,340,350,329,350
95,337,103,337,103,349,95,349
199,337,205,337,205,349,199,349
204,337,208,337,208,348,204,348
248,337,255,337,255,349,248,349
269,337,280,337,280,350,269,350
175,337,184,337,184,349,175,349
125,338,136,338,136,350,125,350
135,338,146,338,146,350,135,350
144,338,156,338,156,352,144,352
155,338,169,338,169,350,155,350
229,338,240,338,240,352,229,352
254,338,263,338,263,349,254,349
280,339,289,339,289,350,280,350
288,339,297,339,297,349,288,349
297,339,308,339,308,350,297,350
306,339,313,339,313,349,306,349
312,339,320,339,320,349,312,349
320,339,330,339,330,350,320,350
132,357,144,357,144,370,132,370
161,357,176,357,176,370,161,370
127,358,133,358,133,369,127,369
143,358,153,358,153,370,143,370
152,358,163,358,163,370,152,370
175,358,186,358,186,370,175,370
184,358,196,358,196,370,184,370
194,358,204,358,204,369,194,369
244,358,258,358,258,370,244,370
108,359,119,359,119,370,108,370
117,359,128,359,128,371,117,371
203,359,213,359,213,371,203,371
212,359,220,359,220,369,212,369
224,359,233,359,233,370,224,370
233,359,244,359,244,371,233,371
220,365,223,365,223,369,220,369
221,399,235,399,235,412,221,412
110,400,119,400,119,412,110,412
141,400,146,400,146,411,141,411
234,400,246,400,246,412,234,412
245,400,259,400,259,411,245,411
151,401,156,401,156,411,151,411
163,400,172,400,172,411,163,411
185,400,193,400,193,411,185,411
133,401,141,401,141,412,133,412
145,401,152,401,152,412,145,412
160,402,165,402,165,411,160,411
177,401,186,401,186,411,177,411
192,401,200,401,200,412,192,412
204,402,209,402,209,411,204,411
119,402,127,402,127,412,119,412
126,402,134,402,134,412,126,412
170,402,178,402,178,411,170,411
208,402,216,402,216,412,208,412
