181,103,194,103,194,115,181,115
217,185,367,185,367,209,217,209
268,334,342,334,342,352,268,352
212,333,265,333,265,353,212,353
193,103,251,103,251,115,193,115
219,397,261,397,261,413,219,413
157,399,202,399,202,414,157,414
166,333,186,333,186,352,166,352
201,400,218,400,218,414,201,414
92,333,110,333,110,352,92,352
188,333,211,333,211,352,188,352
112,333,171,336,170,355,111,351
107,355,226,355,226,373,107,373
168,185,219,185,219,209,168,209
222,357,260,357,260,373,222,373
32,333,91,333,91,351,32,351
181,91,217,91,217,106,181,106
109,398,158,398,158,415,109,415
