110,74,152,74,152,98,110,98
160,74,266,74,266,98,160,98
274,74,340,74,340,98,274,98
346,74,396,74,396,98,346,98
240,350,424,350,424,436,240,436
76,354,240,354,240,432,76,432
80,432,180,435,179,458,79,455
220,434,358,434,358,456,220,456
186,436,212,436,212,456,186,456
366,436,432,436,432,456,366,456
352,470,384,470,384,496,352,496
388,470,458,470,458,496,388,496
214,628,254,628,254,652,214,652
276,628,324,628,324,656,276,656
182,630,206,630,206,650,182,650
176,914,324,914,324,942,176,942
174,1488,324,1488,324,1514,174,1514
384,1500,409,1504,407,1515,382,1511
176,2052,324,2052,324,2080,176,2080
386,2068,408,2068,408,2076,386,2076
